年月,港口別,艘次總計,總噸位總計,中華民國艘次,中華民國總噸位,日本艘次,日本總噸位,韓國艘次,韓國總噸位,香港艘次,香港總噸位, 中國大陸艘次,中國大陸總噸位,越南艘次,越南總噸位,泰國艘次,泰國總噸位,馬來西亞艘次,馬來西亞總噸位,新加坡艘次,新加坡總噸位,菲律賓艘次,菲律賓總噸位,柬埔寨艘次,柬埔寨總噸位,印尼艘次,印尼總噸位,印度艘次,印度總噸位,沙烏地阿拉伯艘次,沙烏地阿拉伯,科威特艘次,科威特總噸位,賴比瑞亞艘次,賴比瑞亞總噸位,美國艘次,美國總噸位,巴拿馬艘次,巴拿馬總噸位,巴哈馬艘次,巴哈馬總噸位,宏都拉斯艘次,宏都拉斯總噸位,聖文森艘次,聖文森總噸位,安地瓜巴布達艘次,安地瓜巴布達總噸位,安地卡艘次,安地卡總噸位,貝里斯艘次,貝里斯總噸位,紐西蘭艘次,紐西蘭總噸位,吐瓦魯艘次,吐瓦魯總噸位,馬紹爾群島艘次,馬紹爾群島總噸位,法國艘次,法國總噸位,德國艘次,德國總噸位,義大利艘次,義大利總噸位,荷蘭艘次,荷蘭總噸位,英國艘次,英國總噸位,挪威艘次,挪威總噸位,丹麥艘次,丹麥總噸位,葡萄牙艘次,葡萄牙總噸位,希臘艘次,希臘總噸位,塞浦路斯艘次,塞浦路斯總噸位,馬爾他艘次,馬爾他總噸位,其他國籍艘次,其他國籍總噸位
200302,國際商港,2570,38499048,725,6828167,16,256491,80,439643,77,1271722,0,0,10,100773,0,0,34,587099,143,2323741,19,331157,20,90067,17,108867,3,78006,0,0,1,149719,186,4791496,17,436847,789,11793917,26,488399,7,40631,65,518073,26,361509,0,0,44,224441,0,0,0,0,23,668335,2,193404,25,737259,2,83487,12,82920,18,636121,22,484879,17,1348090,0,0,13,711705,37,570926,22,333543,72,1427614
200303,國際商港,3148,47217758,881,8765755,16,199465,73,414245,134,2391177,0,0,31,303024,3,43402,47,1069897,152,2622929,29,553959,31,189965,10,72639,3,124503,1,28195,1,48154,233,5570115,16,587739,924,12663368,28,575180,8,61261,94,730684,40,745425,0,0,35,144440,0,0,0,0,27,609985,1,28226,38,896753,8,389158,6,101312,17,628954,20,373282,16,1182845,0,0,23,874779,62,1168210,27,434462,113,2624271
200304,國際商港,3169,48334630,873,8140462,33,471010,89,617546,114,1912053,0,0,36,363951,6,73012,53,939286,152,2761697,21,294656,36,149742,14,87431,5,101183,3,79392,1,48154,225,5632873,16,656512,954,14296941,25,518541,5,32152,91,749800,33,491152,0,0,35,111665,0,0,0,0,30,606823,1,153483,39,1206476,6,261338,12,299917,18,862167,21,321536,17,1391590,0,0,25,1024387,61,1188185,34,575680,85,1913837
200305,國際商港,3291,48446340,967,8664256,23,277670,93,489884,116,2150498,0,0,44,414044,4,29660,41,777419,160,2724550,23,279641,29,197422,10,59422,3,92845,0,0,1,149647,211,5669772,15,626289,943,13740405,33,529659,4,3930,111,969389,39,613222,0,0,43,101025,0,0,0,0,38,665958,0,0,43,1301123,8,397361,15,274671,24,1093870,24,421866,19,1394049,0,0,17,647451,74,1441185,27,403966,89,1844191
200306,國際商港,3076,46568440,843,7490539,30,263990,85,785995,115,2097292,0,0,23,240296,15,143285,39,892453,163,2720241,19,235241,31,207053,13,79166,4,104154,0,0,2,96308,194,5233409,11,527815,931,13558359,30,600170,1,221,94,782137,30,365184,0,0,28,89457,0,0,0,0,39,692205,3,78630,42,1257056,3,154140,17,423575,25,1364229,24,523673,15,1155886,0,0,16,660215,77,1441815,31,548807,83,1755444
200307,國際商港,3379,49081959,992,8122829,24,263454,88,570835,109,1806509,0,0,24,237111,16,159816,40,829597,169,2798174,24,348573,21,180713,21,117951,5,127639,4,113407,0,0,193,4832038,12,332204,1011,14577265,35,627018,3,1596,99,873704,38,666136,0,0,35,152352,0,0,0,0,53,1030651,2,190461,36,1218686,10,404786,14,272769,27,1277825,28,607245,18,1455809,0,0,20,950779,76,1560663,31,555300,101,1818064
200308,國際商港,3262,46759983,940,7634703,15,215350,83,711890,109,2132242,0,0,32,311237,14,137376,40,542396,185,3326068,23,340421,30,188763,15,74730,2,72797,2,55445,1,48154,205,4625361,8,310415,942,13847873,29,496602,5,3561,109,906417,33,465323,0,0,34,138471,0,0,0,0,46,841800,0,0,32,1171443,4,222757,19,316671,23,1050480,27,550818,16,1340984,0,0,13,566035,86,1587832,39,682222,101,1843346
200309,國際商港,3211,46419161,936,7199641,23,256942,77,675845,119,2203089,0,0,29,289576,15,143918,45,550761,169,2877276,22,280318,30,176595,15,100407,4,116077,0,0,2,197801,186,4077342,9,276752,918,13975484,36,593635,0,0,94,693387,31,529248,0,0,48,168038,0,0,0,0,54,962552,0,0,34,1203055,10,437901,22,528499,26,1295375,19,328483,21,1498053,0,0,21,1193477,79,1336496,26,364803,91,1888335
200310,國際商港,3411,48247037,1057,8064114,28,339561,84,717764,126,2328938,1,6472,21,257671,18,169927,45,546381,191,3331745,28,478831,33,199483,15,77673,3,117307,1,28981,1,48154,205,4934399,9,366478,929,13802927,31,681197,1,877,110,830904,32,485982,0,0,41,124770,0,0,0,0,44,798957,0,0,29,1071952,5,295345,24,415592,27,1295723,22,528751,17,1444913,0,0,21,801715,88,1469030,35,640360,89,1544163
200311,國際商港,3098,45394112,894,7493678,23,233282,75,528152,110,1767615,0,0,32,344206,8,81935,37,362447,195,3343338,27,422014,26,154563,15,80653,1,36512,1,28981,1,48154,181,3976329,11,439518,920,14296759,22,328014,0,0,96,779532,38,634793,0,0,34,105439,0,0,0,0,37,700860,0,0,35,1248566,6,174706,16,338775,21,1242668,17,418343,15,1220137,0,0,22,1264512,72,1214852,23,518586,87,1566193
200312,國際商港,3272,48337665,954,7976213,20,262326,84,876450,126,2127692,0,0,29,303740,7,79549,46,546335,196,3432138,39,604534,26,144407,24,135989,6,200372,1,28981,3,281686,185,4643019,14,599237,917,13787882,29,436133,7,5526,106,797056,52,689054,0,0,30,88974,0,0,0,0,44,804025,1,29083,29,1103857,12,543604,16,408089,24,1172088,13,354309,19,1332582,0,0,25,977392,82,1326353,23,527108,83,1711882
200401,國際商港,3169,46241593,1001,8501963,27,328756,77,530925,105,1813156,0,0,40,444572,5,59403,32,376693,191,3271700,20,327897,20,136876,20,123494,2,76164,1,26464,1,48154,155,3447364,12,562532,886,13870800,27,471277,7,4272,99,831661,59,875340,0,0,28,59936,0,0,0,0,45,903522,0,0,31,1195733,6,236537,17,478117,23,1227838,15,362953,18,1497114,0,0,17,645982,76,1429162,23,505688,83,1569548
200402,國際商港,3243,46391864,977,7429204,14,203570,93,915516,123,1923811,0,0,31,360901,7,60747,40,573438,197,3497681,21,297268,30,157935,20,107958,4,122449,0,0,1,158503,172,4011952,16,540896,896,13426303,23,405008,5,3699,98,769309,65,857108,0,0,34,87877,0,0,1,17331,45,838902,0,0,35,1309262,6,326934,11,183369,22,1051523,18,473255,17,1430388,0,0,26,1065415,82,1526688,37,754711,76,1502953
